name,address,rating,price,review_count,station_idx,distance,lat_lon
Domain & Ayr,492 Parnell Rd,4.5,2,15,21,571.7838574933303,"-36.8622121814254,174.782028747843"
Woodpecker Hill,196 Parnell Rd,4.5,3,26,22,54.10570525692756,"-36.8546219,174.7801666"
Di Mare,251 Parnell Rd,4.5,1,29,22,192.10662827139205,"-36.8558709,174.7805648"
Rumi,251 Parnell Rd,5.0,-1,5,22,192.44679578972094,"-36.8558681704461,174.78063415736"
Oh Calcutta,149-155 Parnell Rd,4.5,2,15,22,37.419178888440264,"-36.8540688,174.7793427"
Kopio,131 Parnell Rd,4.5,1,3,22,80.56184316557513,"-36.85373,174.7792"
Parnell 149,149 Parnell Rd,3.5,-1,7,22,47.59975528814758,"-36.85407,174.77934"
Gion,Shop1,4.5,-1,3,22,30.34336861017574,"-36.8539972,174.7798125"
Cibo,91 St George's Bay Rd,4.5,4,14,22,341.53593356878594,"-36.8523241686972,174.78277402209"
La Porchetta,167-171 Parnell Rd,3.0,2,14,22,16.594687400740828,"-36.8543587,174.7796021"
Han,Shop G04A,4.5,-1,2,22,206.11038334344377,"-36.8525247771963,174.779023523588"
Woodpecker Hill,196 Parnell Rd,4.5,3,26,23,505.07142538090085,"-36.8546219,174.7801666"
Divino Bistro,15 Nicholls Lane,5.0,-1,1,23,30.454542374342203,"-36.8534257,174.7748592"
Di Mare,251 Parnell Rd,4.5,1,29,23,592.0857584205859,"-36.8558709,174.7805648"
Kopio,131 Parnell Rd,4.5,1,3,23,389.08040275418796,"-36.85373,174.7792"
Han,Shop G04A,4.5,-1,2,23,374.2709622382123,"-36.8525247771963,174.779023523588"
Rumi,251 Parnell Rd,5.0,-1,5,23,593.5170059656474,"-36.8558681704461,174.78063415736"
Oh Calcutta,149-155 Parnell Rd,4.5,2,15,23,417.1484495889855,"-36.8540688,174.7793427"
Amano,66 - 68 Tyler St,4.5,3,67,23,1043.4729866757457,"-36.844498,174.7703587"
Cibo,91 St George's Bay Rd,4.5,4,14,23,707.4273301982961,"-36.8523241686972,174.78277402209"
Fang,100 Parnell Rd,4.5,-1,3,23,411.1910127542473,"-36.85264,174.77891"
Baduzzi,10-26 Jellicoe St,4.5,3,73,24,173.00387947096888,"-36.8409671759782,174.757016396741"
The Good Luck Coconut,39 Jellicoe St,4.5,-1,4,24,172.7603805359957,"-36.95409,174.84342"
Dr Rudi's Rooftop Brewing Co.,Level 3,4.0,2,42,24,775.4109856754612,"-36.8427136774233,174.763424696142"
Giraffe,85-87 Custom St West,4.5,-1,17,24,782.6059218541429,"-36.8432620522554,174.763249609362"
Oyster And Chop,Market Square,4.0,3,54,24,722.5238831912125,"-36.8430815674653,174.76261156734"
Hello Beasty,95-97 Customs Street W,4.5,-1,13,24,709.7652352333905,"-36.8431763335408,174.762401189647"
Depot,86 Federal St,4.5,3,294,24,1149.501280036481,"-36.8489969,174.7625058"
Merchants of Venice,37-49 Jellicoe Street,4.0,3,10,24,43.69303037681532,"-36.8401133,174.7553057"
Swashbucklers,23B Westhaven Dr,4.0,2,30,24,475.35177891313873,"-36.8438017858805,174.751788238828"
16 Tun,20 Jellicoe St,4.0,2,22,24,209.66410403647288,"-36.8411196586715,174.757386800179"
